Player,Year,School,G,YPG,TDPG,Team Yards,Team TDs,DR,MSY,MSTD,Type
Johnston White,2017,Arkansas State,13,51.09,0.27,494.9,4.6,8.1,10.32,5.87,Rushing
Theo Anderson,2017,Buffalo,11,44.3,0.2,431.9,3.5,7.99,10.26,5.71,Rushing
Lamar Jordan,2017,New Mexico,13,31.18,0.18,359.7,2.5,7.93,8.67,7.2,Rushing
Kwadra Griggs,2017,Southern Mississippi,10,28.6,0.3,424.6,3.3,7.91,6.74,9.09,Rushing
Peyton Ramsey,2017,Indiana,12,28.25,0.25,395.8,3,7.74,7.14,8.33,Rushing
Malik Roberson,2017,San Jose State,11,33.92,0.08,318.1,1.7,7.68,10.66,4.71,Rushing
J.D. King,2017,Oklahoma State,13,43.25,0.42,571.3,5.4,7.67,7.57,7.78,Rushing
Joshua Jacobs,2017,Alabama,11,41.09,0.27,444.1,4.6,7.56,9.25,5.87,Rushing
Van Edwards Jr.,2017,Akron,13,29.31,0.15,316.4,2.7,7.41,9.26,5.56,Rushing
Art Thompkins,2017,Toledo,12,53.71,0.14,485.1,4.3,7.16,11.07,3.26,Rushing
Salvon Ahmed,2017,Washington,13,35.77,0.23,405.5,4.3,7.09,8.82,5.37,Rushing
Abdul Adams,2017,Oklahoma,10,62.2,0.2,579.6,5.8,7.09,10.73,3.45,Rushing
Bilal Ally,2017,Massachusetts,13,32.17,0.25,433,3.8,7,7.43,6.58,Rushing
George Bollas,2017,Kent State,10,21.64,0.09,275.2,1.5,6.93,7.86,6,Rushing
DeeJay Dallas,2017,Miami (FL),12,25.75,0.25,403.4,3.5,6.76,6.38,7.14,Rushing
Brian Robinson,2017,Alabama,6,27.5,0.33,444.1,4.6,6.68,6.19,7.17,Rushing
Mondo Williams,2017,Appalachian State,12,56.88,0,439.8,4.3,6.47,12.93,0,Rushing
Michael Warren,2017,Cincinnati,12,31.75,0.08,351.8,2.6,6.12,9.03,3.21,Rushing
Kylin Hill,2017,Mississippi State,13,33.15,0.15,418.6,3.6,6.04,7.92,4.17,Rushing
Najee Harris,2017,Alabama,14,29.64,0.21,444.1,4.6,5.67,6.67,4.66,Rushing
Baker Mayfield,2017,Oklahoma,13,22.36,0.43,579.6,5.8,5.64,3.86,7.41,Rushing
Antonio Williams,2017,Ohio State,12,26.25,0.25,506.2,5.2,5,5.19,4.81,Rushing
Kato Nelson,2017,Akron,13,19.8,0.1,316.4,2.7,4.98,6.26,3.7,Rushing
Jarrett Stidham,2017,Auburn,14,10.93,0.29,451.6,3.9,4.93,2.42,7.44,Rushing
Elijah Holyfield,2017,Georgia,13,22.85,0.15,435.3,4.4,4.37,5.25,3.5,Rushing
Shane Morris,2017,Central Michigan,13,7.15,0.23,390.7,3.6,4.11,1.83,6.39,Rushing
Robert Brown,2017,Texas State,11,27.67,0,339.8,2.2,4.07,8.14,0,Rushing
Eno Benjamin,2017,Arizona State,9,17.44,0.11,431.5,3.7,3.51,4.04,2.97,Rushing
Miles Sanders,2017,Penn State,13,17,0.15,460.3,5.3,3.3,3.69,2.9,Rushing
Mike Warren,2017,Iowa State,9,11.67,0.11,386,3.3,3.19,3.02,3.37,Rushing
Nathan Tilford,2017,Arizona,10,12.1,0.2,489.9,5.2,3.16,2.47,3.85,Rushing
Bryant Shirreffs,2017,Connecticut,12,22.89,0,415.5,2.9,2.75,5.51,0,Rushing
Mason Fine,2017,North Texas,14,1.14,0.07,456.1,4.3,0.94,0.25,1.63,Rushing
Christian McCaffrey,2016,Stanford,11,174.55,1.45,367.6,2.7,50.59,47.48,53.7,Rushing
Aaron Jones,2016,Texas-El Paso,12,167.17,1.67,369.6,3.5,46.47,45.23,47.71,Rushing
Jeremy McNichols,2016,Boise State,13,167.92,2.08,472.8,4.4,41.39,35.52,47.27,Rushing
Nick Holley,2016,Kent State,11,95.91,1.09,309.2,2.2,40.28,31.02,49.55,Rushing
Ryan Nall,2016,Oregon State,10,116.5,1.5,365.5,3.1,40.13,31.87,48.39,Rushing
James Butler,2016,Nevada,12,143.08,1.25,382.2,3.1,38.88,37.44,40.32,Rushing
Jeffrey Wilson,2016,North Texas,11,107.55,1.36,341.8,3,38.4,31.47,45.33,Rushing
Joe Williams,2016,Utah,9,168.22,1.11,430.7,3.1,37.43,39.06,35.81,Rushing
Donnel Pumphrey,2016,San Diego State,14,168.86,1.21,407.4,3.8,36.65,41.45,31.84,Rushing
Dalvin Cook,2016,Florida State,13,173.31,1.54,466.4,4.3,36.49,37.16,35.81,Rushing
D'Onta Foreman,2016,Texas,11,191.18,1.36,492.2,4.1,36.01,38.84,33.17,Rushing
Jamaal Williams,2016,Brigham Young,10,145.5,1.2,398.9,3.4,35.88,36.48,35.29,Rushing
Jahad Thomas,2016,Temple,12,114.25,1.58,413.8,3.8,34.59,27.61,41.58,Rushing
Anthony Wales,2016,Western Kentucky,13,149.54,2.23,523.1,5.5,34.57,28.59,40.55,Rushing
Ralph Webb,2016,Vanderbilt,13,111.46,1,355.7,2.7,34.19,31.34,37.04,Rushing
Brian Hill,2016,Wyoming,14,137.64,1.57,434.6,4.3,34.09,31.67,36.51,Rushing
Ito Smith,2016,Southern Mississippi,13,147.54,1.46,475.4,4,33.77,31.03,36.5,Rushing
Justin Jackson,2016,Northwestern,13,134.08,1.15,398.2,3.4,33.75,33.67,33.82,Rushing
Derrius Guice,2016,LSU,12,124.42,1.33,423.2,3.5,33.7,29.4,38,Rushing
Corey Clement,2016,Wisconsin,13,115.92,1.15,382.1,3.2,33.14,30.34,35.94,Rushing
Rodney Smith,2016,Minnesota,13,103.54,1.23,357.2,3.3,33.13,28.99,37.27,Rushing
Dedrick Mills,2016,Georgia Tech,9,87.11,1.44,387.2,3.3,33.07,22.5,43.64,Rushing
Saquon Barkley,2016,Penn State,14,135.57,1.57,435.6,4.5,33.01,31.12,34.89,Rushing
Leonard Fournette,2016,LSU,7,141.29,1.14,423.2,3.5,32.98,33.39,32.57,Rushing
Akrum Wadley,2016,Iowa,13,107.38,1,325,3.1,32.65,33.04,32.26,Rushing
Will Worth,2016,Navy,12,99.67,2.08,438.3,5,32.17,22.74,41.6,Rushing
I'Tavius Mathers,2016,Middle Tennessee State,13,168.77,1.54,516.8,5,31.73,32.66,30.8,Rushing
Phillip Lindsay,2016,Colorado,14,124.64,1.21,438.4,3.6,31.02,28.43,33.61,Rushing
Arkeel Newsome,2016,Connecticut,12,82.33,0.58,320,1.6,30.99,25.73,36.25,Rushing
Marcus Cox,2016,Appalachian State,9,125.22,1.11,435.9,3.4,30.69,28.73,32.65,Rushing
Rico Dowdle,2016,South Carolina,9,91,0.78,347.5,2.4,29.34,26.19,32.5,Rushing
Nick Fitzgerald,2016,Mississippi State,13,106.46,1.23,440.2,3.6,29.18,24.18,34.17,Rushing
Jordan Johnson,2016,Buffalo,12,95.08,0.58,353.8,1.9,28.7,26.87,30.53,Rushing
Jordan Chunn,2016,Troy,13,117.31,1.23,430.1,4.1,28.64,27.28,30,Rushing
Elijah McGuire,2016,Louisiana-Lafayette,13,105,0.69,357.2,2.5,28.5,29.4,27.6,Rushing
Rawleigh Williams III,2016,Arkansas,13,121.54,1,428.5,3.6,28.07,28.36,27.78,Rushing
Kalen Ballage,2016,Arizona State,12,83.75,1.25,391.1,3.6,28.07,21.41,34.72,Rushing
Teriyon Gipson,2016,New Mexico,11,122.64,1.27,456.8,4.4,27.86,26.85,28.86,Rushing
James Gilbert,2016,Ball State,12,112.5,1,449.2,3.3,27.67,25.04,30.3,Rushing
James Conner,2016,Pittsburgh,13,107.23,1.54,446.8,5,27.4,24,30.8,Rushing
Devin Singletary,2016,Florida Atlantic,12,98.67,1,398.6,3.4,27.08,24.75,29.41,Rushing
Kamryn Pettway,2016,Auburn,9,137.56,0.78,440.8,3.4,27.07,31.21,22.94,Rushing
Mark Walton,2016,Miami (FL),13,104.38,1.15,425.9,3.9,27,24.51,29.49,Rushing
Kyle Hicks,2016,Texas Christian,13,112.23,1.08,463.2,3.7,26.71,24.23,29.19,Rushing
Lamar Jackson,2016,Louisville,13,120.85,1.62,532.7,5.3,26.63,22.69,30.57,Rushing
Brandon Dawkins,2016,Arizona,10,94.4,1,413.1,3.3,26.58,22.85,30.3,Rushing
Kendrick Foster,2016,Illinois,12,64.5,0.75,315.1,2.3,26.54,20.47,32.61,Rushing
Curtis Samuel,2016,Ohio State,13,125.85,1.15,459.2,4.5,26.48,27.41,25.56,Rushing
James Flanders,2016,Tulsa,13,126.62,1.38,527.6,5,25.8,24,27.6,Rushing
Dontrell Hilliard,2016,Tulane,11,79.36,0.82,341.4,2.9,25.76,23.25,28.28,Rushing
Leshun Daniels Jr,2016,Iowa,13,86.54,0.77,325,3.1,25.73,26.63,24.84,Rushing
Cade Carney,2016,Wake Forest,10,66.3,0.6,311.5,2,25.64,21.28,30,Rushing
Taquan Mizzell,2016,Virginia,12,112,0.58,352.9,3,25.54,31.74,19.33,Rushing
Nick Chubb,2016,Georgia,13,93.54,0.69,384.9,2.6,25.42,24.3,26.54,Rushing
Greg Howell,2016,Florida Atlantic,12,72.5,1.08,398.6,3.4,24.98,18.19,31.76,Rushing
Matt Dayes,2016,North Carolina State,13,110.23,0.77,416,3.3,24.92,26.5,23.33,Rushing
Joe Mixon,2016,Oklahoma,12,151,1.25,554.8,5.6,24.77,27.22,22.32,Rushing
Ray Lawry,2016,Old Dominion,12,115.75,1,430.8,4.5,24.55,26.87,22.22,Rushing
Samuel Stewart,2016,Rice,7,83.29,0.86,384.6,3.2,24.27,21.66,26.88,Rushing
Benny Snell Jr,2016,Kentucky,13,86.92,1,422.8,3.6,24.17,20.56,27.78,Rushing
Warren Wand,2016,Arkansas State,13,89.08,0.77,379.4,3.1,24.16,23.48,24.84,Rushing
Rashaad Penny,2016,San Diego State,14,88.71,1,407.4,3.8,24.05,21.77,26.32,Rushing
Jalin Moore,2016,Appalachian State,13,110.31,0.77,435.9,3.4,23.98,25.31,22.65,Rushing
Quinton Flowers,2016,South Florida,13,117.46,1.38,511.5,5.6,23.8,22.96,24.64,Rushing
Xavier Johnson,2016,South Alabama,12,76.42,0.83,389.4,3.1,23.2,19.63,26.77,Rushing
Kerryon Johnson,2016,Auburn,12,85,0.92,440.8,3.4,23.17,19.28,27.06,Rushing
Ryquell Armstead,2016,Temple,13,73.85,1.08,413.8,3.8,23.13,17.85,28.42,Rushing
Devine Redding,2016,Indiana,13,97.54,0.69,426,3,22.95,22.9,23,Rushing
Alvin Kamara,2016,Tennessee,11,89.82,1.18,443.7,4.6,22.95,20.24,25.65,Rushing
Lexington Thomas,2016,UNLV,10,72.5,1,404.4,3.6,22.85,17.93,27.78,Rushing
Kareem Hunt,2016,Toledo,13,144.46,0.85,517.8,4.8,22.8,27.9,17.71,Rushing
Marlon Mack,2016,South Florida,12,117.83,1.25,511.5,5.6,22.68,23.04,22.32,Rushing
Jela Duncan,2016,Duke,7,69,0.86,393.3,3.1,22.64,17.54,27.74,Rushing
LJ Scott,2016,Michigan State,12,95.08,0.58,395,2.8,22.39,24.07,20.71,Rushing
Jarvion Franklin,2016,Western Michigan,14,117.21,1,481.2,5,22.18,24.36,20,Rushing
Andy Davidson,2016,Army,12,80.08,1,414,4,22.17,19.34,25,Rushing
Ronald Jones,2016,Southern California,13,89.08,1,476.4,3.9,22.17,18.7,25.64,Rushing
Jalen Rhodes,2016,UTSA,12,82.25,0.83,375.5,3.7,22.17,21.9,22.43,Rushing
Fred Coppet,2016,Bowling Green State,12,92.42,0.67,407.1,3.1,22.16,22.7,21.61,Rushing
Samaje Perine,2016,Oklahoma,10,116.6,1.3,554.8,5.6,22.12,21.02,23.21,Rushing
Jesse Ertz,2016,Kansas State,13,77.85,0.92,389.2,3.8,22.11,20,24.21,Rushing
Richard McQuarley,2016,New Mexico,13,57.69,1.38,456.8,4.4,22,12.63,31.36,Rushing
Kalif Phillips,2016,Charlotte,11,104.45,0.45,369.5,2.9,21.89,28.27,15.52,Rushing
Larry Rose III,2016,New Mexico State,9,116.11,0.44,413.7,2.8,21.89,28.07,15.71,Rushing
Ian Eriksen,2016,Eastern Michigan,11,92.18,0.82,455.2,3.5,21.84,20.25,23.43,Rushing
Stedman Mayberry,2016,Texas State,12,76.17,0.42,302.3,2.3,21.73,25.2,18.26,Rushing
Arion Worthman,2016,Air Force,7,97.86,0.86,453.8,4.1,21.27,21.56,20.98,Rushing
Anthony Maddie,2016,Northern Illinois,7,81,1,464.4,4,21.22,17.44,25,Rushing
Jeremy Cox,2016,Old Dominion,12,70.83,1.17,430.8,4.5,21.22,16.44,26,Rushing
Devon Spalding,2016,Central Michigan,11,87.45,0.64,392,3.2,21.15,22.31,20,Rushing
Alex Gardner,2016,Florida International,12,93.42,0.5,375.3,2.9,21.07,24.89,17.24,Rushing
Dontel James,2016,Fresno State,11,64.18,0.45,329.3,2,20.99,19.49,22.5,Rushing
Willy Ivery,2016,North Texas,11,60.27,0.73,341.8,3,20.98,17.63,24.33,Rushing
Damarea Crockett,2016,Missouri,11,97.82,0.91,500.5,4.1,20.87,19.54,22.2,Rushing
Shannon Brooks,2016,Minnesota,10,72.6,0.7,357.2,3.3,20.77,20.32,21.21,Rushing
Ty Johnson,2016,Maryland,13,93.08,0.54,377.8,3.2,20.76,24.64,16.88,Rushing
Joel Lanning,2016,Iowa State,11,46.73,1,421.6,3.3,20.69,11.08,30.3,Rushing
Jordan Scarlett,2016,Florida,13,70.15,0.46,344,2.2,20.65,20.39,20.91,Rushing
Justin Rankin,2016,Kent State,11,76.91,0.36,309.2,2.2,20.62,24.87,16.36,Rushing
Thomas Koufie,2016,Louisiana-Monroe,10,45.4,0.9,373.3,3.1,20.6,12.16,29.03,Rushing
Josh Rounds,2016,Tulane,12,70.17,0.58,341.4,2.9,20.28,20.55,20,Rushing
Keion Davis,2016,Marshall,9,58.33,0.78,350,3.3,20.15,16.67,23.64,Rushing
Terrell Newby,2016,Nebraska,13,79.08,0.62,380.9,3.2,20.07,20.76,19.38,Rushing
Duke Catalon,2016,Houston,9,89.89,0.78,443.4,4,19.89,20.27,19.5,Rushing
Robert Martin,2016,Rutgers,9,73.67,0.22,283.5,1.6,19.87,25.99,13.75,Rushing
Jarveon Williams,2016,UTSA,13,86.23,0.62,375.5,3.7,19.86,22.96,16.76,Rushing
Wayne Gallman,2016,Clemson,15,85.67,1.13,504.3,5,19.79,16.99,22.6,Rushing
Stanley Boom Williams,2016,Kentucky,13,94.31,0.62,422.8,3.6,19.76,22.31,17.22,Rushing
Royce Freeman,2016,Oregon,11,99,0.91,491.7,4.7,19.75,20.13,19.36,Rushing
Elijah Hood,2016,North Carolina,11,90.91,0.73,439,3.9,19.71,20.71,18.72,Rushing
Myles Gaskin,2016,Washington,14,107.86,0.79,456.9,5.1,19.55,23.61,15.49,Rushing
Chris Carson,2016,Oklahoma State,9,76.33,1.11,494.9,4.7,19.52,15.42,23.62,Rushing
John Wolford,2016,Wake Forest,12,42.92,0.5,311.5,2,19.39,13.78,25,Rushing
Braeden West,2016,Southern Methodist,12,94,0.5,427.3,3,19.33,22,16.67,Rushing
Khari Blasingame,2016,Vanderbilt,13,35.15,0.77,355.7,2.7,19.2,9.88,28.52,Rushing
Lorenzo Harrison,2016,Maryland,9,78.33,0.56,377.8,3.2,19.12,20.73,17.5,Rushing
Terence Williams,2016,Baylor,12,89.17,0.92,522.7,4.4,18.98,17.06,20.91,Rushing
Isaiah Saunders,2016,Idaho,13,67.62,0.69,397,3.3,18.97,17.03,20.91,Rushing
James Summers,2016,East Carolina,12,81.5,0.67,467.1,3.3,18.88,17.45,20.3,Rushing
Timothy McVey,2016,Air Force,13,69.31,0.92,453.8,4.1,18.86,15.27,22.44,Rushing
Tyree Jackson,2016,Buffalo,10,39.9,0.5,353.8,1.9,18.8,11.28,26.32,Rushing
Sony Michel,2016,Georgia,12,82.42,0.42,384.9,2.6,18.78,21.41,16.15,Rushing
Jarred Craft,2016,Louisiana Tech,14,101,0.93,514.9,5.2,18.75,19.62,17.88,Rushing
Joel Bouagnon,2016,Northern Illinois,12,86.83,0.75,464.4,4,18.72,18.7,18.75,Rushing
Jon Hilliman,2016,Boston College,12,45.33,0.5,292.8,2.3,18.61,15.48,21.74,Rushing
Kevin Ellison,2016,Georgia Southern,11,62.45,0.64,380.4,3.1,18.53,16.42,20.65,Rushing
Wesley Fields,2016,Georgia Southern,10,66.9,0.6,380.4,3.1,18.47,17.59,19.35,Rushing
Tonny Lindsey,2016,Utah State,12,73.83,0.5,377,2.9,18.41,19.58,17.24,Rushing
D'Angelo Brewer,2016,Tulsa,12,121.17,0.67,527.6,5,18.18,22.97,13.4,Rushing
Joshua Dobbs,2016,Tennessee,13,64.23,1,443.7,4.6,18.11,14.48,21.74,Rushing
Jalen Hurts,2016,Alabama,15,63.6,0.87,455.3,4,17.86,13.97,21.75,Rushing
Hasaan Klugh,2016,Charlotte,11,38.73,0.73,369.5,2.9,17.83,10.48,25.17,Rushing
Josh Adams,2016,Notre Dame,12,93.83,0.5,417.6,3.8,17.81,22.47,13.16,Rushing
T.J. Logan,2016,North Carolina,13,68.77,0.77,439,3.9,17.7,15.67,19.74,Rushing
Izzy Matthews,2016,Colorado State,13,60.77,1,462.5,4.5,17.68,13.14,22.22,Rushing
Bo Scarbrough,2016,Alabama,13,64.15,0.85,455.3,4,17.67,14.09,21.25,Rushing
Mike Weber,2016,Ohio State,13,91.31,0.69,459.2,4.5,17.61,19.88,15.33,Rushing
Maleek Irons,2016,Ohio,9,59.44,0.56,392.9,2.8,17.56,15.13,20,Rushing
Tommy Armstrong Jr,2016,Nebraska,11,46.55,0.73,380.9,3.2,17.52,12.22,22.81,Rushing
Anthony Jennings,2016,Louisiana-Lafayette,13,26.23,0.69,357.2,2.5,17.47,7.34,27.6,Rushing
Albert Reid,2016,Virginia,11,48,0.64,352.9,3,17.47,13.6,21.33,Rushing
Marquis Young,2016,Massachusetts,12,86.25,0.33,355.3,3.1,17.46,24.28,10.65,Rushing
Jerod Evans,2016,Virginia Tech,14,60.43,0.86,445.7,4.1,17.27,13.56,20.98,Rushing
Zamore Zigler,2016,San Jose State,8,62.75,0.5,377.8,2.8,17.23,16.61,17.86,Rushing
Justin Goodwin,2016,Rutgers,11,65.55,0.18,283.5,1.6,17.19,23.12,11.25,Rushing
Tyrone Owens,2016,New Mexico,12,95.92,0.58,456.8,4.4,17.09,21,13.18,Rushing
Trevor Knight,2016,Texas A&M,11,55.82,0.91,467,4.1,17.07,11.95,22.2,Rushing
Trayveon Williams,2016,Texas A&M,13,88.31,0.62,467,4.1,17.02,18.91,15.12,Rushing
Anthony Scott,2016,East Carolina,8,68.5,0.63,467.1,3.3,16.88,14.66,19.09,Rushing
Dontravious Wilson,2016,Central Florida,14,43.36,0.64,350.8,3,16.85,12.36,21.33,Rushing
Mitch Leidner,2016,Minnesota,12,30.5,0.83,357.2,3.3,16.85,8.54,25.15,Rushing
Steven Lakalaka,2016,Hawaii,14,30.71,0.93,391.3,3.6,16.84,7.85,25.83,Rushing
Darnell Woolfolk,2016,Army,11,54.55,0.82,414,4,16.84,13.18,20.5,Rushing
Ahmad Bradshaw,2016,Army,12,69.67,0.67,414,4,16.79,16.83,16.75,Rushing
Jahray Hayes,2016,Central Michigan,13,46.62,0.69,392,3.2,16.73,11.89,21.56,Rushing
Tony Brooks-James,2016,Oregon,12,77.17,0.83,491.7,4.7,16.68,15.69,17.66,Rushing
Riley Neal,2016,Ball State,11,50,0.73,449.2,3.3,16.63,11.13,22.12,Rushing
Jamauri Bogan,2016,Western Michigan,11,89.18,0.73,481.2,5,16.57,18.53,14.6,Rushing
Taylor Martin,2016,Kansas,10,36.9,0.5,359.5,2.2,16.5,10.26,22.73,Rushing
De'Veon Smith,2016,Michigan,13,70.15,0.77,424.9,4.7,16.45,16.51,16.38,Rushing
Dorian Brown,2016,Ohio,11,78.09,0.36,392.9,2.8,16.37,19.88,12.86,Rushing
Ke'aun Kinner,2016,Kansas,12,76.42,0.25,359.5,2.2,16.31,21.26,11.36,Rushing
Jalen Hurd,2016,Tennessee,7,76,0.71,443.7,4.6,16.28,17.13,15.43,Rushing
Jamal Morrow,2016,Washington State,13,81.46,0.77,483.7,4.9,16.28,16.84,15.71,Rushing
Donovan Wilson,2016,Bowling Green State,10,53.7,0.6,407.1,3.1,16.27,13.19,19.35,Rushing
Devine Ozigbo,2016,Nebraska,9,56.89,0.56,380.9,3.2,16.22,14.94,17.5,Rushing
Akeem Judd,2016,Mississippi,12,77.67,0.58,464.8,3.7,16.19,16.71,15.68,Rushing
Lazedrick Thompson,2016,Tulane,12,42.17,0.58,341.4,2.9,16.18,12.35,20,Rushing
La Ramsby,2016,Georgia Southern,11,33.18,0.73,380.4,3.1,16.14,8.72,23.55,Rushing
Doroland Dorceus,2016,Memphis,13,68.46,0.77,464.1,4.4,16.13,14.75,17.5,Rushing
Taysom Hill,2016,Brigham Young,12,50,0.67,398.9,3.4,16.12,12.53,19.71,Rushing
Bryce Love,2016,Stanford,12,72.17,0.33,367.1,2.7,16,19.66,12.35,Rushing
Diocemy Saint Juste,2016,Hawaii,12,88.5,0.33,391.3,3.6,15.89,22.62,9.17,Rushing
Seth Russell,2016,Baylor,9,56.22,0.89,522.7,4.4,15.49,10.76,20.23,Rushing
Kenny Hill,2016,Texas Christian,13,46.85,0.77,463.2,3.7,15.46,10.11,20.81,Rushing
Markell Jones,2016,Purdue,11,75.55,0.36,391.3,3.1,15.46,19.31,11.61,Rushing
Art Pierce,2016,Oregon State,11,59.55,0.45,365.5,3.1,15.4,16.29,14.52,Rushing
Kenny Potter,2016,San Jose State,11,30,0.64,377.8,2.8,15.4,7.94,22.86,Rushing
Tre Watson,2016,California,12,79.17,0.67,513.2,4.4,15.33,15.43,15.23,Rushing
Marcus Marshall,2016,Georgia Tech,11,65.09,0.45,387.2,3.3,15.22,16.81,13.64,Rushing
D'Ernest Johnson,2016,South Florida,13,64.31,1,511.5,5.6,15.21,12.57,17.86,Rushing
Greg Ward Jr.,2016,Houston,12,42.67,0.83,443.4,4,15.19,9.62,20.75,Rushing
Alonzo Smith,2016,Miami (OH),13,61.38,0.38,367.8,2.8,15.13,16.69,13.57,Rushing
Travon McMillian,2016,Virginia Tech,14,56.86,0.71,445.7,4.1,15.04,12.76,17.32,Rushing
Justin Crawford,2016,West Virginia,13,96.31,0.38,485.5,3.8,14.92,19.84,10,Rushing
Ke'Mon Freemon,2016,Southern Methodist,12,67.5,0.42,427.3,3,14.9,15.8,14,Rushing
J.T. Barrett,2016,Ohio State,13,65,0.69,459.2,4.5,14.74,14.16,15.33,Rushing
Gerard Wicks,2016,Washington State,13,50.69,0.92,483.7,4.9,14.63,10.48,18.78,Rushing
Taylor Lamb,2016,Appalachian State,13,38.85,0.69,435.9,3.4,14.6,8.91,20.29,Rushing
A.J. Turner,2016,South Carolina,12,53.33,0.33,347.5,2.4,14.55,15.35,13.75,Rushing
Daniel Jones,2016,Duke,12,40.5,0.58,393.3,3.1,14.5,10.3,18.71,Rushing
Matt Breida,2016,Georgia Southern,12,58.25,0.42,380.4,3.1,14.43,15.31,13.55,Rushing
Dalyn Dawkins,2016,Colorado State,12,90.08,0.42,462.5,4.5,14.41,19.48,9.33,Rushing
Mike Boone,2016,Cincinnati,9,70.78,0.22,374.3,2.3,14.24,18.91,9.57,Rushing
Sefo Liufau,2016,Colorado,12,42.33,0.67,438.4,3.6,14.13,9.66,18.61,Rushing
Justice Hill,2016,Oklahoma State,13,91.38,0.46,494.9,4.7,14.13,18.46,9.79,Rushing
Justin Thomas,2016,Georgia Tech,12,50.33,0.5,387.2,3.3,14.07,13,15.15,Rushing
Aaron Duckworth,2016,Idaho,13,56.31,0.46,397,3.3,14.06,14.18,13.94,Rushing
Bradrick Shaw,2016,Wisconsin,10,46.3,0.5,382.1,3.2,13.87,12.12,15.63,Rushing
Eric Dungey,2016,Syracuse,9,32.56,0.67,440.9,3.3,13.84,7.38,20.3,Rushing
Tion Green,2016,Cincinnati,12,75.83,0.17,374.3,2.3,13.83,20.26,7.39,Rushing
Skyler Howard,2016,West Virginia,13,35.62,0.77,485.5,3.8,13.8,7.34,20.26,Rushing
Johnston White,2016,Arkansas State,11,48.73,0.45,379.4,3.1,13.68,12.84,14.52,Rushing
Kent Myers,2016,Utah State,12,37.42,0.5,377,2.9,13.58,9.93,17.24,Rushing
DeShone Kizer,2016,Notre Dame,12,39.67,0.67,417.6,3.8,13.57,9.5,17.63,Rushing
Gerald Holmes,2016,Michigan State,11,43.55,0.45,395,2.8,13.55,11.03,16.07,Rushing
Ben Luckett,2016,Louisiana-Monroe,11,46.55,0.45,373.3,3.1,13.49,12.47,14.52,Rushing
Kenny Young,2016,Miami (OH),13,58.31,0.31,367.8,2.8,13.46,15.85,11.07,Rushing
Jacobi Owens,2016,Air Force,13,70.69,0.46,453.8,4.1,13.4,15.58,11.22,Rushing
Dare Ogunbowale,2016,Wisconsin,14,51,0.43,382.1,3.2,13.39,13.35,13.44,Rushing
Matt Colburn,2016,Wake Forest,13,59.15,0.15,311.5,2,13.24,18.99,7.5,Rushing
Jordan Huff,2016,Northern Illinois,11,70.27,0.45,464.4,4,13.19,15.13,11.25,Rushing
Robert Washington,2016,Charlotte,12,43.08,0.42,369.5,2.9,13.07,11.66,14.48,Rushing
Darrell Henderson,2016,Memphis,13,55.31,0.62,464.1,4.4,13,11.92,14.09,Rushing
Joseph Yearby,2016,Miami (FL),13,51.77,0.54,425.9,3.9,13,12.16,13.85,Rushing
Marvin Kinsey,2016,Colorado State,11,53.91,0.64,462.5,4.5,12.94,11.66,14.22,Rushing
Anthony Jones,2016,Florida International,12,54.25,0.33,375.3,2.9,12.92,14.46,11.38,Rushing
Rushel Shell,2016,West Virginia,10,61.4,0.5,485.5,3.8,12.9,12.65,13.16,Rushing
James Williams,2016,Washington State,13,71.31,0.54,483.7,4.9,12.88,14.74,11.02,Rushing
Darik Dillard,2016,Rice,10,50.3,0.4,384.6,3.2,12.79,13.08,12.5,Rushing
Ish Witter,2016,Missouri,12,66.67,0.5,500.5,4.1,12.76,13.32,12.2,Rushing
Shaun Wilson,2016,Duke,12,58.25,0.33,393.3,3.1,12.73,14.81,10.65,Rushing
Bryant Shirreffs,2016,Connecticut,9,36.22,0.22,320,1.6,12.53,11.32,13.75,Rushing
Patrick Towles,2016,Boston College,13,24.54,0.38,292.8,2.3,12.45,8.38,16.52,Rushing
Van Edwards Jr.,2016,Akron,11,52.09,0.36,387.4,3.2,12.35,13.45,11.25,Rushing
Brandon Radcliff,2016,Louisville,13,76.08,0.54,532.7,5.3,12.24,14.28,10.19,Rushing
Demario Richard,2016,Arizona State,11,66.27,0.27,391.1,3.6,12.22,16.94,7.5,Rushing
Malik Roberson,2016,San Jose State,11,55.45,0.27,377.8,2.8,12.16,14.68,9.64,Rushing
Reggie Corbin,2016,Illinois,12,52.92,0.17,315.1,2.3,12.09,16.79,7.39,Rushing
Deontae Cooper,2016,San Jose State,11,53.82,0.27,377.8,2.8,11.94,14.25,9.64,Rushing
John Kelly,2016,Tennessee,11,61.91,0.45,443.7,4.6,11.87,13.95,9.78,Rushing
Lavon Coleman,2016,Washington,14,63.07,0.5,456.9,5.1,11.8,13.8,9.8,Rushing
Keith Ford,2016,Texas A&M,13,57.69,0.46,467,4.1,11.79,12.35,11.22,Rushing
Damien Harris,2016,Alabama,15,75.73,0.27,455.3,4,11.69,16.63,6.75,Rushing
Tyler Rogers,2016,New Mexico State,11,30,0.45,413.7,2.8,11.66,7.25,16.07,Rushing
Dontae Strickland,2016,Syracuse,12,58.17,0.33,440.9,3.3,11.6,13.19,10,Rushing
Chad Kelly,2016,Mississippi,9,37.44,0.56,464.8,3.7,11.6,8.06,15.14,Rushing
